COORD_X,COORD_Y,M2_HABITA,M2_PARCEL,REFCAT,Dist_Playa,CVisual_m2,V_Bosque,V_Golf,V_Equipami,V_Mar,V_Matorral,V_RedVia,V_UTrad,V_Cultivo,V_UPlurif,V_UUnif,V_Mina,Tipos_pais,Tam_CVisus,V_TPaiDef,Tpaisaje_sin_Proximidad,Med_Vist_valor_final,SpParc_Cat,AreaMedZon,Eur_m2_Cat,Precio_Cat,Prec_pond
357776,4049745,201,1121,7898406UF5479N,1024.0,683874,0.130,0.008,0.000,94.404,2.726,0.004,0.000,0.038,0.503,2.188,0.000,2.000,5.000,4.000,4.000,4.5,809.0,630.0,544.6,343100.0,426912.5
359990,4049574,275,0,0196409UF6409N,327.0,540646,1.868,0.000,0.000,80.460,12.519,0.054,0.033,0.376,0.562,4.128,0.000,6.000,4.000,2.000,2.000,3.0,839.0,710.0,562.0,399000.0,422812.5
359947,4049532,275,0,0097312UF6409N,310.2,464634,0.812,0.000,0.000,89.211,7.612,0.000,0.000,0.020,0.304,2.040,0.000,6.000,4.000,2.000,2.000,3.0,615.0,710.0,562.0,399000.0,420481.4
357822,4049873,194,764,7801618UF5570S,1118.3,475039,0.190,0.000,0.000,93.874,4.131,0.007,0.000,0.005,0.272,1.520,0.000,2.000,4.000,4.000,4.000,4.0,426.0,0.0,0.0,607942.0,419943.7
357501,4049125,250,0,7691452UF5479S,574.9,652268,0.440,0.005,0.000,90.073,6.647,0.002,0.000,0.064,0.408,2.360,0.000,2.000,5.000,4.000,4.000,4.5,511.0,800.0,677.3,541800.0,418200.0
359302,4050358,343,0,9405642UF5590N,1209.3,571457,0.083,0.001,0.000,92.352,4.858,0.008,0.001,0.394,0.190,1.801,0.312,2.000,4.000,4.000,4.000,4.0,640.0,800.0,394.6,315700.0,415399.0
359818,4049537,220,922,9897608UF5499N,368.5,613249,1.238,0.000,0.000,84.217,12.034,0.017,0.020,0.213,0.079,2.111,0.072,6.000,5.000,2.000,2.000,3.5,650.0,710.0,562.0,399000.0,413353.8
357747,4050071,220,480,7801609UF5570S,1329.6,120677,0.463,0.000,0.000,89.957,8.998,0.010,0.000,0.000,0.000,0.573,0.000,6.000,2.000,2.000,2.000,2.0,297.0,315.0,675.9,212900.0,406875.6
359323,4050541,313,373,9405637UF5590N,1385.4,25919,0.000,0.000,0.000,88.213,6.760,0.000,0.000,0.000,0.000,5.027,0.000,6.000,2.000,2.000,2.000,2.0,2719.0,800.0,394.6,315700.0,406665.0
359972,4050051,300,768,0101902UF6500S,762.0,268846,2.163,0.147,0.000,73.403,19.245,0.043,0.005,0.090,1.130,3.762,0.012,6.000,2.000,2.000,2.000,2.0,675.0,900.0,423.4,381100.0,403495.8
357525,4049528,152,927,7698203UF5479N,908.5,255399,0.437,0.000,0.000,94.388,4.256,0.000,0.000,0.002,0.179,0.740,0.000,2.000,2.000,4.000,4.000,3.0,927.0,1000.0,503.0,503000.0,401809.9
359034,4049253,220,720,9193901UF5499S,219.4,41360,0.636,0.000,0.000,67.391,30.372,0.010,0.000,0.000,0.000,1.591,0.000,6.000,2.000,2.000,2.000,2.0,704.0,710.0,562.0,399000.0,396162.5
359399,4050753,350,450,9409910UF5590N,1585.0,539891,0.004,0.208,0.265,87.492,6.400,0.030,0.001,0.208,1.329,3.834,0.229,6.000,4.000,2.000,2.000,3.0,617.0,1000.0,275.2,275200.0,395628.2
357687,4049364,200,600,7895103UF5479N,696.5,274964,0.404,0.000,0.000,92.574,5.765,0.000,0.000,0.028,0.114,1.115,0.000,2.000,3.000,4.000,4.000,3.5,657.0,630.0,544.6,343100.0,395628.2
357821,4049821,225,0,7801620UF5570S,1071.8,589539,0.139,0.000,0.000,96.824,2.013,0.001,0.000,0.000,0.148,0.875,0.000,2.000,4.000,4.000,4.000,4.0,579.0,630.0,544.6,343100.0,388475.0
359353,4050747,350,0,9409901UF5590N,1584.5,490674,0.032,0.204,0.277,92.501,2.090,0.007,0.001,0.293,1.266,3.330,0.000,2.000,4.000,4.000,4.000,4.0,2010.0,1000.0,275.2,275200.0,386262.6
359615,4050533,296,0,9707205UF5590N,1349.9,359143,1.404,0.000,0.000,88.160,8.992,0.001,0.030,0.016,0.074,1.323,0.000,6.000,3.000,2.000,2.000,2.5,1125.0,450.0,788.0,354600.0,386262.6
359004,4050275,104,0,9004403UF5590S,1194.8,743852,0.009,0.168,0.003,90.171,1.786,0.073,0.000,0.536,1.427,5.827,0.000,2.000,5.000,4.000,4.000,4.5,558.0,800.0,1133.4,906700.0,378003.1
357722,4050154,180,700,7703702UF5570S,1416.3,376556,0.170,0.000,0.000,93.164,4.317,0.037,0.000,0.079,0.302,1.931,0.000,2.000,3.000,4.000,4.000,3.5,490.0,1000.0,503.0,503000.0,372508.6
359954,4049581,195,750,0196405UF6409N,350.1,300656,3.222,0.000,0.000,62.540,27.498,0.059,0.056,0.172,0.705,5.246,0.503,6.000,3.000,2.000,2.000,2.5,573.0,710.0,562.0,399000.0,369243.6
360193,4049451,202,523,0297609UF6409N,123.6,757723,0.016,0.035,0.000,91.240,6.250,0.066,0.000,0.021,0.927,1.189,0.256,4.000,5.000,4.500,5.000,4.8,989.0,710.0,562.0,399000.0,365281.7
359449,4050277,255,775,9405644UF5590N,1105.6,203491,0.456,0.000,0.000,95.504,2.319,0.000,0.003,0.127,0.026,1.565,0.000,2.000,2.000,4.000,4.000,3.0,778.0,800.0,394.6,315700.0,360327.3
359484,4050048,260,650,9601402UF5590S,874.3,69424,1.396,0.000,0.000,91.810,3.117,0.000,0.020,0.147,0.000,3.510,0.000,2.000,2.000,4.000,4.000,3.0,1526.0,800.0,394.6,315700.0,360223.9
359411,4050233,260,650,9405615UF5590N,1066.8,328438,0.076,0.000,0.000,95.493,2.741,0.001,0.002,0.312,0.030,1.345,0.000,2.000,3.000,4.000,4.000,3.5,489.0,800.0,394.6,315700.0,359289.9
359453,4050768,313,373,9610310UF5591S,1594.6,400402,0.016,0.022,0.271,91.294,4.512,0.012,0.001,0.173,0.975,2.402,0.321,2.000,3.000,4.000,4.000,3.5,2029.0,1000.0,275.2,275200.0,358348.9
358290,4049735,270,0,8598901UF5489N,876.5,49876,0.070,0.000,0.000,84.742,14.442,0.000,0.000,0.000,0.000,0.746,0.000,6.000,2.000,2.000,2.000,2.0,638.0,800.0,512.5,410000.0,357804.3
357686,4049430,200,0,7796608UF5479N,759.0,256523,0.344,0.000,0.000,95.471,3.484,0.000,0.000,0.000,0.107,0.594,0.000,2.000,2.000,4.000,4.000,3.0,446.0,630.0,544.6,343100.0,354604.2
357528,4049640,152,1047,7698419UF5479N,1009.9,442465,0.245,0.000,0.000,95.932,2.467,0.000,0.000,0.000,0.307,1.049,0.000,2.000,4.000,4.000,4.000,4.0,1073.0,1000.0,503.0,503000.0,354604.2
357640,4049725,156,927,7898401UF5479N,1053.0,685317,0.156,0.000,0.000,92.466,4.464,0.006,0.000,0.072,0.453,2.384,0.000,2.000,5.000,4.000,4.000,4.5,1107.0,630.0,544.6,343100.0,347987.5
359086,4049158,215,0,9194525UF5499S,114.3,632225,0.080,0.000,0.000,93.241,5.440,0.018,0.002,0.015,0.297,0.905,0.002,1.000,5.000,5.000,5.000,5.0,910.0,710.0,562.0,399000.0,347647.9
358375,4049459,202,970,8596105UF5489N,600.3,213231,0.087,0.000,0.000,98.667,0.650,0.006,0.000,0.000,0.123,0.467,0.000,2.000,2.000,4.000,4.000,3.0,597.0,800.0,512.5,410000.0,346074.8
357467,4049579,188,0,7698425UF5479N,979.4,315117,0.354,0.000,0.000,94.575,3.933,0.000,0.000,0.001,0.258,0.878,0.000,2.000,3.000,4.000,4.000,3.5,1257.0,1000.0,503.0,503000.0,345612.7
357495,4049711,188,0,7698421UF5479N,1088.1,289513,0.289,0.000,0.000,95.705,3.074,0.000,0.000,0.000,0.230,0.702,0.000,2.000,3.000,4.000,4.000,3.5,1154.0,1000.0,503.0,503000.0,332207.9
359306,4050504,264,0,9405601UF5590N,1351.6,102135,0.000,0.000,0.000,97.199,0.000,0.000,0.000,0.291,0.499,2.011,0.000,2.000,2.000,4.000,4.000,3.0,825.0,800.0,394.6,315700.0,327067.6
360115,4049932,272,0,0101914UF6500S,596.1,288855,2.092,0.067,0.000,79.694,16.692,0.004,0.000,0.054,0.203,1.140,0.054,6.000,3.000,2.000,2.000,2.5,734.0,900.0,423.4,381100.0,326975.0
358386,4050200,178,35,8504950UF5580S,1340.3,660448,0.000,0.010,0.000,96.885,0.295,0.012,0.000,0.151,0.557,2.090,0.000,2.000,5.000,4.000,4.000,4.5,552.0,630.0,986.0,621200.0,325565.6
357688,4050090,164,331,7703711UF5570S,1371.0,524506,0.143,0.000,0.000,92.143,5.357,0.049,0.000,0.068,0.243,1.996,0.000,2.000,4.000,4.000,4.000,4.0,896.0,1000.0,503.0,503000.0,325093.8
359422,4049282,200,0,9494708UF5499S,142.2,549156,0.505,0.002,0.000,86.748,10.617,0.003,0.009,0.292,0.145,1.393,0.286,6.000,4.000,2.000,2.000,3.0,3012.0,710.0,562.0,399000.0,322009.9
359815,4049478,171,555,9897610UF5499N,310.3,66912,5.864,0.000,0.000,19.463,67.574,0.000,0.000,0.096,0.296,6.579,0.129,6.000,2.000,2.000,2.000,2.0,718.0,710.0,562.0,399000.0,315325.2
357257,4049594,178,0,7498206UF5479N,1097.7,105200,1.574,0.000,0.000,75.783,20.059,0.011,0.000,0.000,0.550,2.022,0.000,6.000,2.000,2.000,2.000,2.0,655.0,800.0,677.3,541800.0,312625.0
357326,4049417,178,0,7498215UF5479N,913.2,144739,1.425,0.000,0.000,80.232,15.883,0.000,0.000,0.000,0.449,2.011,0.000,6.000,2.000,2.000,2.000,2.0,317.0,800.0,677.3,541800.0,311513.0
358634,4050696,170,300,8709803UF5580N,1702.3,378973,0.163,0.033,0.000,88.169,8.429,0.011,0.000,0.000,1.170,1.718,0.308,4.000,3.000,1.800,2.000,2.4,1084.0,315.0,1344.6,423550.0,311087.5
358378,4049346,184,764,8596111UF5489N,487.5,168009,0.100,0.000,0.000,93.538,5.697,0.001,0.000,0.001,0.204,0.459,0.000,2.000,2.000,4.000,4.000,3.0,1824.0,800.0,512.5,410000.0,310808.2
357403,4049486,160,0,7599820UF5479N,928.0,87759,1.536,0.000,0.000,75.131,20.179,0.000,0.000,0.000,0.681,2.473,0.000,6.000,2.000,2.000,2.000,2.0,1636.0,1000.0,503.0,503000.0,309646.5
358778,4049383,220,0,8995102UF5489N,439.5,713669,0.086,0.006,0.000,91.270,5.734,0.031,0.000,0.016,0.377,2.383,0.099,2.000,5.000,4.000,4.000,4.5,1259.0,1120.0,345.8,387300.0,307018.3
357519,4049493,150,0,7599831UF5479N,879.2,383173,0.345,0.000,0.000,92.628,5.212,0.000,0.000,0.022,0.318,1.476,0.000,2.000,3.000,4.000,4.000,3.5,905.0,1000.0,503.0,503000.0,305962.5
357666,4049356,188,0,7895111UF5479N,696.1,26813,4.289,0.000,0.000,24.462,60.131,0.000,0.000,0.026,0.526,10.566,0.000,5.000,2.000,1.500,2.000,1.8,553.0,630.0,587.9,370360.0,305834.4
357963,4049786,110,400,8000720UF5580S,985.5,246743,0.144,0.000,0.000,93.914,4.977,0.001,0.000,0.002,0.238,0.725,0.000,2.000,2.000,4.000,4.000,3.0,1709.0,1000.0,537.7,537700.0,301350.0
358403,4049409,200,0,8596115UF5489N,552.6,99084,0.000,0.000,0.000,98.885,0.103,0.000,0.000,0.000,0.234,0.778,0.000,2.000,2.000,4.000,4.000,3.0,1234.0,800.0,512.5,410000.0,300503.3
357720,4049361,191,0,7894701UF5479S,682.8,308791,0.354,0.000,0.000,94.015,4.609,0.000,0.000,0.001,0.138,0.883,0.000,2.000,3.000,4.000,4.000,3.5,86.0,0.0,0.0,359080.0,299300.0
357765,4049853,129,370,7801650UF5570S,1124.8,229515,0.414,0.000,0.000,92.095,7.192,0.000,0.000,0.000,0.000,0.299,0.000,2.000,2.000,4.000,4.000,3.0,342.0,315.0,1089.2,343100.0,298407.0
359647,4050560,400,1140,9707204UF5590N,1359.6,416811,1.438,0.000,0.000,88.473,8.113,0.002,0.028,0.038,0.132,1.775,0.000,6.000,3.000,2.000,2.000,2.5,1140.0,450.0,788.0,354600.0,297353.3
359843,4049503,149,150,9897611UF5499N,331.0,147638,1.242,0.000,0.000,73.396,24.194,0.005,0.018,0.026,0.073,1.000,0.045,6.000,2.000,2.000,2.000,2.0,551.0,710.0,562.0,399000.0,294603.8
359204,4049162,148,75,9293504UF5499S,66.6,488762,0.320,0.000,0.000,90.682,6.679,0.045,0.000,0.000,0.540,1.734,0.000,4.000,4.000,4.500,5.000,4.3,948.0,710.0,562.0,399000.0,290625.4
357594,4049788,132,0,7698405UF5479N,1128.0,321949,0.218,0.000,0.000,87.723,7.839,0.009,0.000,0.080,0.656,3.476,0.000,6.000,3.000,2.000,2.000,2.5,1429.0,1000.0,503.0,503000.0,285825.0
359258,4049174,148,0,9394713UF5499S,72.2,711867,0.256,0.001,0.000,92.278,5.081,0.028,0.000,0.001,0.502,1.853,0.000,1.000,5.000,5.000,5.000,5.0,1783.0,710.0,562.0,399000.0,283367.9
360119,4049641,124,460,0297626UF6409N,327.9,59695,9.217,0.000,0.000,22.201,65.267,0.018,0.005,0.221,0.000,2.159,0.911,4.000,2.000,2.700,3.000,2.4,2371.0,710.0,562.0,399000.0,281762.3
359880,4049581,124,460,0097307UF6409N,388.4,488524,1.598,0.000,0.000,87.185,9.309,0.005,0.022,0.049,0.053,1.779,0.000,6.000,4.000,2.000,2.000,3.0,582.0,710.0,562.0,399000.0,275842.9
357631,4050083,126,50,7703713UF5570S,1390.7,361683,0.217,0.000,0.000,88.728,7.752,0.055,0.000,0.092,0.343,2.812,0.000,6.000,3.000,2.000,2.000,2.5,2151.0,1000.0,503.0,503000.0,273689.3
358669,4049525,128,805,8797204UF5489N,615.0,630533,0.016,0.015,0.000,89.769,6.003,0.053,0.000,0.061,0.699,3.383,0.000,6.000,5.000,2.000,2.000,3.5,833.0,800.0,512.5,410000.0,270308.5
357683,4049470,130,0,7796617UF5479N,797.7,384159,0.208,0.000,0.000,97.389,1.645,0.000,0.000,0.000,0.144,0.614,0.000,2.000,3.000,4.000,4.000,3.5,465.0,630.0,544.6,343100.0,261954.1
359391,4050198,152,650,9303604UF5590S,1035.0,233688,0.030,0.000,0.000,94.912,3.365,0.000,0.003,0.403,0.035,1.252,0.000,2.000,2.000,4.000,4.000,3.0,1549.0,800.0,394.6,315700.0,259231.1
360111,4049588,142,0,0196420UF6409N,282.6,227006,4.563,0.193,0.000,44.964,41.411,0.187,0.086,0.512,1.540,5.561,0.982,3.000,2.000,3.000,3.000,2.5,641.0,710.0,562.0,399000.0,253240.5
359350,4050267,151,650,9405616UF5590N,1111.0,19149,0.334,0.000,0.000,0.000,84.741,0.000,0.000,0.585,0.010,13.024,1.306,3.000,2.000,3.000,3.000,2.5,2203.0,800.0,394.6,315700.0,252560.0
357604,4049830,125,0,7600615UF5570S,1163.8,253911,0.408,0.000,0.000,82.082,11.222,0.033,0.000,0.019,0.893,5.344,0.000,6.000,2.000,2.000,2.000,2.0,1280.0,1000.0,503.0,503000.0,249797.6
357305,4049482,128,0,7498212UF5479N,978.8,138479,1.360,0.000,0.000,79.647,16.224,0.001,0.000,0.000,0.547,2.219,0.000,6.000,2.000,2.000,2.000,2.0,435.0,800.0,677.3,541800.0,246470.0
359441,4050304,147,497,9405645UF5590N,1133.5,144392,0.196,0.000,0.000,98.016,0.673,0.000,0.000,0.045,0.019,1.051,0.000,2.000,2.000,4.000,4.000,3.0,775.0,800.0,394.6,315700.0,246115.4
357264,4049572,121,0,7498207UF5479N,1075.3,105143,1.561,0.000,0.000,76.489,19.558,0.010,0.000,0.000,0.535,1.846,0.000,6.000,2.000,2.000,2.000,2.0,653.0,800.0,677.3,541800.0,242893.0
360150,4049445,131,0,0296107UF6409N,140.2,713312,0.000,0.043,0.000,96.977,1.018,0.059,0.000,0.000,0.916,0.986,0.000,4.000,5.000,4.500,5.000,4.8,704.0,710.0,562.0,399000.0,242638.4
